algo,serie,taille,temps
glouton,DP_N10_0,N10,0.002548
glouton,DP_N10_1,N10,0.002318
glouton,DP_N10_2,N10,0.002386
glouton,DP_N10_3,N10,0.002186
glouton,DP_N10_4,N10,0.002402
glouton,DP_N15_0,N15,0.002628
glouton,DP_N15_1,N15,0.002925
glouton,DP_N15_2,N15,0.002644
glouton,DP_N15_3,N15,0.002652
glouton,DP_N15_4,N15,0.002879
glouton,DP_N20_0,N20,0.003528
glouton,DP_N20_1,N20,0.003935
glouton,DP_N20_2,N20,0.003483
glouton,DP_N20_3,N20,0.003608
glouton,DP_N20_4,N20,0.003717
glouton,DP_N25_0,N25,0.004490
glouton,DP_N25_1,N25,0.004914
glouton,DP_N25_2,N25,0.004424
glouton,DP_N25_3,N25,0.005123
glouton,DP_N25_4,N25,0.004711
glouton,DP_N5_0,N5,0.001649
glouton,DP_N5_1,N5,0.001493
glouton,DP_N5_2,N5,0.001556
glouton,DP_N5_3,N5,0.001390
glouton,DP_N5_4,N5,0.001508
progdyn,DP_N10_0,N10,0.107990
progdyn,DP_N10_1,N10,0.127010
progdyn,DP_N10_2,N10,0.106271
progdyn,DP_N10_3,N10,0.116599
progdyn,DP_N10_4,N10,0.147506
progdyn,DP_N15_0,N15,9.412357
progdyn,DP_N15_1,N15,9.265539
progdyn,DP_N15_2,N15,9.290947
progdyn,DP_N15_3,N15,9.035233
progdyn,DP_N15_4,N15,9.127327
progdyn,DP_N20_0,N20,1323.651381
progdyn,DP_N20_1,N20,1374.767233
progdyn,DP_N20_2,N20,1357.578254
progdyn,DP_N20_3,N20,1354.944812
progdyn,DP_N20_4,N20,1389.512377
progdyn,DP_N25_0,N25,99106.674617
progdyn,DP_N25_1,N25,102525.639073
progdyn,DP_N25_2,N25,102147.083351
progdyn,DP_N25_3,N25,89485.036804
progdyn,DP_N25_4,N25,101286.439585
progdyn,DP_N5_0,N5,0.001310
progdyn,DP_N5_1,N5,0.001226
progdyn,DP_N5_2,N5,0.001262
progdyn,DP_N5_3,N5,0.001301
progdyn,DP_N5_4,N5,0.001253
