algo,serie,taille,distance
,N1000_0,0,4.261936
,N10000_0,0,347.410499
,N100000_0,0,34703.558924
,N100000_1,1,34228.891517
,N100000_2,2,34278.148839
,N100000_3,3,34777.931204
,N100000_4,4,34223.884698
,N10000_1,1,344.986115
,N10000_2,2,342.763737
,N10000_3,3,341.828351
,N10000_4,4,342.049926
,N1000_1,1,4.827345
,N1000_2,2,5.039815
,N1000_3,3,4.793038
,N1000_4,4,7.089193
,N5000_0,0,89.589187
,N50000_0,0,8539.649269
,N50000_1,1,8540.218976
,N50000_2,2,8541.333871
,N50000_3,3,8561.701381
,N50000_4,4,8679.310240
,N5000_1,1,94.367183
,N5000_2,2,94.369339
,N5000_3,3,92.478419
,N5000_4,4,91.150694
